"interval_start_utc","interval_end_utc","load"
2024-04-30 07:10:00,2024-04-30 07:15:00,23145
2024-04-30 07:15:00,2024-04-30 07:20:00,23230
2024-04-30 07:20:00,2024-04-30 07:25:00,23258
2024-04-30 07:25:00,2024-04-30 07:30:00,23164
2024-04-30 07:30:00,2024-04-30 07:35:00,23155
2024-04-30 07:35:00,2024-04-30 07:40:00,23083
2024-04-30 07:40:00,2024-04-30 07:45:00,22968
2024-04-30 07:45:00,2024-04-30 07:50:00,22812
2024-04-30 07:50:00,2024-04-30 07:55:00,22791
2024-04-30 07:55:00,2024-04-30 08:00:00,22748
2024-04-30 08:00:00,2024-04-30 08:05:00,22646
2024-04-30 08:05:00,2024-04-30 08:10:00,22632
2024-04-30 08:10:00,2024-04-30 08:15:00,22643
2024-04-30 08:15:00,2024-04-30 08:20:00,22579
2024-04-30 08:20:00,2024-04-30 08:25:00,22315
2024-04-30 08:25:00,2024-04-30 08:30:00,22178
2024-04-30 08:30:00,2024-04-30 08:35:00,22067
2024-04-30 08:35:00,2024-04-30 08:40:00,21958
2024-04-30 08:40:00,2024-04-30 08:45:00,21801
2024-04-30 08:45:00,2024-04-30 08:50:00,21637
2024-04-30 08:50:00,2024-04-30 08:55:00,21447
2024-04-30 08:55:00,2024-04-30 09:00:00,21351
2024-04-30 09:00:00,2024-04-30 09:05:00,21203
2024-04-30 09:05:00,2024-04-30 09:10:00,21074
2024-04-30 09:10:00,2024-04-30 09:15:00,20998
2024-04-30 09:15:00,2024-04-30 09:20:00,20831
2024-04-30 09:20:00,2024-04-30 09:25:00,20642
2024-04-30 09:25:00,2024-04-30 09:30:00,20489
2024-04-30 09:30:00,2024-04-30 09:35:00,20343
2024-04-30 09:35:00,2024-04-30 09:40:00,20158
2024-04-30 09:40:00,2024-04-30 09:45:00,19988
2024-04-30 09:45:00,2024-04-30 09:50:00,19770
2024-04-30 09:50:00,2024-04-30 09:55:00,19669
2024-04-30 09:55:00,2024-04-30 10:00:00,19538
2024-04-30 10:00:00,2024-04-30 10:05:00,19344
2024-04-30 10:05:00,2024-04-30 10:10:00,19317
2024-04-30 10:10:00,2024-04-30 10:15:00,19226
2024-04-30 10:15:00,2024-04-30 10:20:00,19091
2024-04-30 10:20:00,2024-04-30 10:25:00,18913
2024-04-30 10:25:00,2024-04-30 10:30:00,18758
2024-04-30 10:30:00,2024-04-30 10:35:00,18597
2024-04-30 10:35:00,2024-04-30 10:40:00,18435
2024-04-30 10:40:00,2024-04-30 10:45:00,18330
2024-04-30 10:45:00,2024-04-30 10:50:00,18237
2024-04-30 10:50:00,2024-04-30 10:55:00,18032
2024-04-30 10:55:00,2024-04-30 11:00:00,17917
2024-04-30 11:00:00,2024-04-30 11:05:00,17811
2024-04-30 11:05:00,2024-04-30 11:10:00,17811
2024-04-30 11:10:00,2024-04-30 11:15:00,17714
2024-04-30 11:15:00,2024-04-30 11:20:00,17621
2024-04-30 11:20:00,2024-04-30 11:25:00,17577
2024-04-30 11:25:00,2024-04-30 11:30:00,17500
2024-04-30 11:30:00,2024-04-30 11:35:00,17437
2024-04-30 11:35:00,2024-04-30 11:40:00,17384
2024-04-30 11:40:00,2024-04-30 11:45:00,17380
2024-04-30 11:45:00,2024-04-30 11:50:00,17319
2024-04-30 11:50:00,2024-04-30 11:55:00,17260
2024-04-30 11:55:00,2024-04-30 12:00:00,17212
2024-04-30 12:00:00,2024-04-30 12:05:00,17180
2024-04-30 12:05:00,2024-04-30 12:10:00,17158
2024-04-30 12:10:00,2024-04-30 12:15:00,17166
2024-04-30 12:15:00,2024-04-30 12:20:00,17076
2024-04-30 12:20:00,2024-04-30 12:25:00,17045
2024-04-30 12:25:00,2024-04-30 12:30:00,17040
2024-04-30 12:30:00,2024-04-30 12:35:00,17057
2024-04-30 12:35:00,2024-04-30 12:40:00,17026
2024-04-30 12:40:00,2024-04-30 12:45:00,17069
2024-04-30 12:45:00,2024-04-30 12:50:00,17079
2024-04-30 12:50:00,2024-04-30 12:55:00,17076
2024-04-30 12:55:00,2024-04-30 13:00:00,17056
2024-04-30 13:00:00,2024-04-30 13:05:00,17053
2024-04-30 13:05:00,2024-04-30 13:10:00,17053
2024-04-30 13:10:00,2024-04-30 13:15:00,17150
2024-04-30 13:15:00,2024-04-30 13:20:00,17089
2024-04-30 13:20:00,2024-04-30 13:25:00,17114
2024-04-30 13:25:00,2024-04-30 13:30:00,17188
2024-04-30 13:30:00,2024-04-30 13:35:00,17321
2024-04-30 13:35:00,2024-04-30 13:40:00,17261
2024-04-30 13:40:00,2024-04-30 13:45:00,17260
2024-04-30 13:45:00,2024-04-30 13:50:00,17224
2024-04-30 13:50:00,2024-04-30 13:55:00,17312
2024-04-30 13:55:00,2024-04-30 14:00:00,17313
2024-04-30 14:00:00,2024-04-30 14:05:00,17295
2024-04-30 14:05:00,2024-04-30 14:10:00,17298
2024-04-30 14:10:00,2024-04-30 14:15:00,17477
2024-04-30 14:15:00,2024-04-30 14:20:00,17541
2024-04-30 14:20:00,2024-04-30 14:25:00,17542
2024-04-30 14:25:00,2024-04-30 14:30:00,17641
2024-04-30 14:30:00,2024-04-30 14:35:00,17762
2024-04-30 14:35:00,2024-04-30 14:40:00,17802
2024-04-30 14:40:00,2024-04-30 14:45:00,17871
2024-04-30 14:45:00,2024-04-30 14:50:00,17987
2024-04-30 14:50:00,2024-04-30 14:55:00,18039
2024-04-30 14:55:00,2024-04-30 15:00:00,18072
2024-04-30 15:00:00,2024-04-30 15:05:00,18185
2024-04-30 15:05:00,2024-04-30 15:10:00,18196
2024-04-30 15:10:00,2024-04-30 15:15:00,18238
2024-04-30 15:15:00,2024-04-30 15:20:00,18374
2024-04-30 15:20:00,2024-04-30 15:25:00,18402
2024-04-30 15:25:00,2024-04-30 15:30:00,18473
2024-04-30 15:30:00,2024-04-30 15:35:00,18597
2024-04-30 15:35:00,2024-04-30 15:40:00,18757
2024-04-30 15:40:00,2024-04-30 15:45:00,18936
2024-04-30 15:45:00,2024-04-30 15:50:00,19036
2024-04-30 15:50:00,2024-04-30 15:55:00,19277
